学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩
宋丽华,金融学,4,男,85,92,95,1,1,1,100.0,88,91,91.95,72,77.98
李玉珍,英语,4,女,75,67,80,1,1,1,100.0,96,83,86.95,72,76.48
李磊,计算机科学与技术,1,女,82,63,69,1,1,1,100.0,70,80,78.9,60,65.67
张梅,英语,4,男,78,65,76,1,1,1,100.0,81,93,85.4,79,80.92
蔡玉珍,计算机科学与技术,2,女,78,100,69,0,1,1,66.67,99,83,83.53,92,89.46
何桂花,会计学,2,女,62,100,73,1,1,0,66.67,84,99,82.58,82,82.17
沈亮,金融学,3,男,85,95,97,1,1,1,100.0,89,83,90.7,73,78.31
邵秀兰,电子信息工程,4,女,97,75,83,1,1,1,100.0,87,78,86.75,65,71.53
高阳,电子信息工程,3,女,81,94,89,1,1,1,100.0,75,95,88.9,77,80.57
贾峰,会计学,3,男,75,63,72,1,1,1,100.0,86,88,84.5,84,84.15
赵秀华,计算机科学与技术,3,女,72,86,76,1,1,1,100.0,77,83,83.4,81,81.72
杨桂兰,会计学,2,男,61,83,95,1,1,1,100.0,75,98,87.15,68,73.74
张华,会计学,1,男,72,81,77,1,1,1,100.0,98,78,87.0,81,82.8
郭超,计算机科学与技术,3,女,95,91,99,1,0,1,66.67,84,84,83.83,94,90.95
陈慧,英语,1,男,75,71,62,1,1,1,100.0,70,93,81.55,92,88.86
张丽娟,计算机科学与技术,4,女,80,74,76,1,1,1,100.0,85,79,84.0,71,74.9
魏林,会计学,4,男,70,66,81,1,1,1,100.0,87,83,84.2,66,71.46
陈桂芳,电子信息工程,2,男,79,95,63,1,1,1,100.0,80,80,83.7,68,72.71
王峰,会计学,1,女,94,95,99,1,1,1,100.0,93,94,95.55,72,79.06
巩军,电子信息工程,1,男,86,89,76,1,1,1,100.0,71,84,83.85,79,80.46
王丹丹,计算机科学与技术,3,女,76,62,79,1,1,1,100.0,82,79,81.95,85,84.08
李丽丽,英语,2,女,75,82,73,0,1,1,66.67,93,70,77.08,87,84.02
张桂荣,计算机科学与技术,1,男,98,62,63,1,0,1,66.67,97,90,82.38,80,80.71
常洁,会计学,4,男,98,64,96,0,1,1,66.67,75,81,78.13,75,75.94
刘瑜,电子信息工程,2,女,73,91,70,1,1,0,66.67,94,98,84.73,86,85.62
龚建国,金融学,2,女,65,75,88,1,1,0,66.67,78,77,74.88,64,67.26
曲宇,计算机科学与技术,2,女,73,68,82,1,1,0,66.67,82,89,78.38,87,84.41
马洋,金融学,2,男,63,61,79,1,1,1,100.0,77,82,80.05,64,68.82
汪超,会计学,2,女,82,89,79,1,1,1,100.0,97,84,90.25,79,82.38
周淑英,英语,2,男,95,63,94,1,1,1,100.0,76,75,82.95,68,72.48
黄帅,会计学,4,女,73,62,74,1,1,1,100.0,91,86,85.15,68,73.14
易静,英语,2,男,64,67,91,1,1,1,100.0,88,94,87.7,69,74.61
邵淑珍,电子信息工程,4,女,85,66,87,1,1,1,100.0,80,92,86.8,77,79.94
马莹,金融学,4,男,84,76,91,1,1,1,100.0,70,89,84.85,62,68.85
卢文,计算机科学与技术,4,女,88,91,63,1,1,1,100.0,98,86,90.2,98,95.66
叶超,计算机科学与技术,4,男,83,71,83,1,0,1,66.67,98,74,80.03,82,81.41
赵兰英,计算机科学与技术,4,男,70,87,91,0,1,1,66.67,77,85,78.63,88,85.19
罗兰英,电子信息工程,2,男,66,93,64,1,1,0,66.67,93,95,82.63,95,91.29
张秀梅,金融学,1,男,77,62,92,0,1,0,33.33,82,73,68.52,89,82.86
王波,计算机科学与技术,2,男,88,60,96,0,1,1,66.67,96,77,80.98,85,83.79
蔺玉梅,金融学,4,男,69,87,93,1,1,1,100.0,71,97,86.9,86,86.27
周玉英,金融学,3,女,78,100,88,1,0,1,66.67,95,89,85.93,82,83.18
王军,英语,2,男,89,73,82,1,1,1,100.0,83,76,84.15,70,74.24
陈玉,金融学,2,女,90,91,72,1,1,1,100.0,71,71,80.8,99,93.54
龙海燕,计算机科学与技术,3,男,91,72,70,1,1,1,100.0,90,72,83.8,73,76.24
贺桂花,英语,4,男,96,69,94,1,1,1,100.0,83,83,87.4,91,89.92
余静,电子信息工程,4,男,60,73,70,1,1,0,66.67,76,74,71.13,79,76.64
樊兵,计算机科学与技术,3,女,87,99,100,1,1,1,100.0,89,82,91.35,80,83.4
萧金凤,电子信息工程,4,女,77,97,76,1,0,1,66.67,89,71,78.33,70,72.5
雷桂香,计算机科学与技术,1,女,70,79,92,0,1,1,66.67,76,83,77.18,84,81.95
杨文,金融学,1,女,72,96,96,1,1,1,100.0,75,100,90.15,75,79.54
罗欢,计算机科学与技术,4,男,99,80,65,1,1,0,66.67,96,95,85.48,70,74.64
甄莹,电子信息工程,4,女,81,91,97,1,1,0,66.67,73,98,82.98,88,86.49
郑阳,会计学,1,男,78,88,71,1,1,1,100.0,85,95,88.7,78,81.21
江桂香,会计学,4,男,100,76,96,0,1,1,66.67,95,87,86.03,65,71.31
方林,金融学,4,男,90,97,78,1,1,1,100.0,70,94,87.5,90,89.25
刘凤兰,金融学,2,男,80,70,61,1,0,1,66.67,77,97,77.93,63,67.48
韦淑华,电子信息工程,3,男,61,71,74,0,1,1,66.67,82,100,79.43,68,71.43
路玉,英语,3,男,92,96,89,1,1,1,100.0,80,98,92.2,100,97.66
陈云,计算机科学与技术,4,男,88,81,69,1,0,1,66.67,99,88,83.88,99,94.46
刘敏,金融学,2,男,75,79,69,1,1,0,66.67,74,88,76.13,86,83.04
徐桂花,计算机科学与技术,4,女,88,68,62,0,1,0,33.33,83,71,66.97,74,71.89
兰萍,电子信息工程,4,女,72,96,75,1,1,1,100.0,81,75,83.3,91,88.69
曾欣,会计学,4,女,91,81,68,1,1,1,100.0,91,89,89.0,91,90.4
叶磊,英语,4,女,81,67,64,1,1,1,100.0,88,81,83.45,83,83.14
张健,金融学,2,男,72,91,98,1,1,1,100.0,74,70,82.1,93,89.73
赵成,会计学,4,女,79,79,71,1,1,1,100.0,86,71,82.15,86,84.84
祁建平,计算机科学与技术,4,女,91,71,83,1,1,0,66.67,89,82,80.58,85,83.67
郑俊,会计学,1,男,97,65,62,1,1,0,66.67,79,94,78.98,90,86.69
张岩,会计学,1,女,67,74,70,1,1,1,100.0,77,71,78.1,96,90.63
杨旭,电子信息工程,2,男,84,71,81,1,0,1,66.67,78,90,78.93,77,77.58
王海燕,金融学,2,男,71,68,90,1,1,0,66.67,85,79,77.23,96,90.37
康玉英,英语,1,女,86,77,67,1,0,0,33.33,100,70,72.17,93,86.75
贾帆,金融学,1,男,70,70,100,1,1,1,100.0,73,73,80.5,74,75.95
魏莉,电子信息工程,1,女,88,96,90,0,1,1,66.67,87,78,81.98,66,70.79
李桂芝,会计学,3,女,72,78,72,1,1,1,100.0,85,93,86.7,87,86.91
武洋,金融学,2,男,99,100,87,1,1,1,100.0,89,80,90.85,61,69.96
沈桂香,英语,4,女,93,75,63,1,1,1,100.0,81,95,87.1,96,93.33
张亮,计算机科学与技术,1,男,72,95,75,1,1,1,100.0,80,94,87.7,82,83.71
吴畅,计算机科学与技术,2,女,86,72,77,0,1,1,66.67,70,92,77.33,75,75.7
庄丽,英语,4,男,71,67,99,1,0,1,66.67,97,78,80.78,88,85.83
陈雷,会计学,1,女,98,73,73,1,1,0,66.67,81,89,80.23,63,68.17
莫秀芳,金融学,1,男,92,68,70,1,1,1,100.0,70,92,83.5,99,94.35
罗娟,会计学,4,男,95,68,76,1,0,1,66.67,86,88,80.73,73,75.32
赵楠,会计学,1,男,70,85,82,1,1,0,66.67,98,73,79.78,92,88.33
范佳,电子信息工程,1,男,79,75,97,1,1,1,100.0,74,93,86.85,75,78.55
彭欣,英语,1,女,91,90,65,1,1,1,100.0,73,70,80.35,74,75.9
林建国,计算机科学与技术,2,女,61,76,66,1,1,1,100.0,94,93,87.05,73,77.21
李红霞,会计学,3,男,98,61,63,1,1,1,100.0,72,70,77.7,93,88.41
宋亮,电子信息工程,2,女,74,75,68,1,1,1,100.0,76,99,85.45,86,85.84
宋柳,计算机科学与技术,1,男,93,72,94,1,1,1,100.0,77,100,90.15,64,71.84
王亮,会计学,4,男,77,100,95,1,1,1,100.0,84,76,87.2,84,84.96
冯凯,计算机科学与技术,3,女,90,68,92,1,1,1,100.0,73,71,81.0,69,72.6
陈丹,会计学,2,女,61,97,73,1,1,1,100.0,93,94,89.85,92,91.35
宋璐,计算机科学与技术,1,男,71,72,91,1,1,1,100.0,84,74,82.9,65,70.37
周建华,会计学,3,女,80,78,99,1,1,1,100.0,78,71,82.95,85,84.38
傅建,英语,2,女,97,84,81,1,1,1,100.0,70,85,84.95,92,89.88
仇慧,计算机科学与技术,1,男,77,90,81,1,1,1,100.0,72,90,85.3,99,94.89
曹建平,计算机科学与技术,3,男,90,78,91,1,1,1,100.0,95,100,94.65,99,97.7
叶杨,电子信息工程,1,女,92,88,99,1,1,1,100.0,99,80,92.65,64,72.6
薛婷,会计学,4,女,65,61,62,1,1,1,100.0,96,79,82.55,90,87.76
倪瑜,英语,4,女,94,77,71,1,1,1,100.0,100,75,87.95,81,83.08
包玲,英语,4,女,95,76,87,1,1,1,100.0,79,77,84.8,60,67.44
周凯,英语,2,男,88,77,81,1,1,1,100.0,100,72,87.6,85,85.78
吴淑兰,金融学,1,男,75,93,79,1,0,1,66.67,79,94,81.28,61,67.08
马明,英语,1,女,94,67,76,1,1,1,100.0,97,86,89.45,62,70.24
杨军,会计学,2,男,72,78,86,1,1,1,100.0,90,80,86.1,65,71.33
江玉,英语,2,女,87,66,99,1,1,1,100.0,86,76,85.7,76,78.91
王佳,英语,3,女,73,85,74,1,1,1,100.0,89,77,84.7,67,72.31
钱红,英语,2,女,78,90,65,1,1,1,100.0,72,77,80.55,76,77.36
邵杰,英语,4,女,81,73,84,1,1,1,100.0,99,95,92.3,78,82.29
翟志强,英语,1,女,61,96,65,1,1,1,100.0,96,95,89.95,86,87.18
梁金凤,电子信息工程,1,男,83,92,67,1,0,1,66.67,97,81,82.03,91,88.31
涂凤兰,金融学,3,男,72,68,82,1,1,1,100.0,84,97,87.45,79,81.54
王玉英,计算机科学与技术,2,男,64,65,81,1,1,0,66.67,94,76,76.83,80,79.05
李洋,英语,4,男,74,86,93,1,1,1,100.0,72,95,87.05,64,70.91
王莉,会计学,4,女,65,94,62,1,1,1,100.0,93,85,86.6,99,95.28
李明,会计学,4,女,60,78,96,1,1,1,100.0,90,94,89.4,77,80.72
许想,计算机科学与技术,1,女,81,97,81,1,1,1,100.0,84,77,86.15,81,82.54
凌金凤,金融学,1,男,97,88,82,1,1,1,100.0,73,80,84.95,76,78.68
李阳,会计学,1,女,93,91,100,1,1,1,100.0,80,94,91.9,92,91.97
沈小红,计算机科学与技术,1,女,90,73,83,0,0,1,33.33,86,90,75.27,86,82.78
董坤,电子信息工程,2,男,79,74,94,1,1,1,100.0,92,93,90.95,80,83.28
苏瑞,电子信息工程,3,女,73,63,73,1,1,1,100.0,84,78,81.4,83,82.52
魏玉珍,计算机科学与技术,1,女,98,64,93,1,1,1,100.0,99,99,95.0,74,80.3
金兰英,会计学,1,男,88,79,92,1,1,0,66.67,95,78,82.48,72,75.14
陈秀珍,会计学,2,女,93,98,79,1,1,1,100.0,85,98,92.75,94,93.62
张红,英语,3,男,67,96,78,1,1,1,100.0,90,100,91.6,64,72.28
武凤兰,电子信息工程,2,男,80,85,70,1,1,1,100.0,99,80,88.25,80,82.48
江丹,英语,2,女,93,90,65,1,1,1,100.0,85,74,84.55,96,92.56
吴岩,英语,2,女,93,82,94,1,1,1,100.0,96,78,90.4,84,85.92
刘瑜,英语,3,女,87,87,80,1,1,1,100.0,99,96,94.15,66,74.44
席刚,英语,4,女,72,78,78,1,1,1,100.0,94,75,85.05,75,78.02
宋楠,金融学,1,女,75,70,80,1,0,1,66.67,92,70,76.33,63,67.0
胡柳,金融学,3,男,64,100,78,1,1,1,100.0,98,76,87.7,91,90.01
王秀华,会计学,3,男,88,82,98,0,1,1,66.67,96,95,87.88,84,85.16
陈旭,金融学,3,男,87,65,67,1,1,1,100.0,80,100,86.9,73,77.17
曹平,电子信息工程,1,男,90,90,68,1,1,1,100.0,94,71,86.05,78,80.41
彭浩,会计学,4,女,74,73,89,0,1,1,66.67,95,96,84.68,70,74.4
詹丽丽,会计学,3,男,79,74,64,1,0,1,66.67,81,89,77.53,92,87.66
冯丹,英语,2,女,92,97,62,1,1,1,100.0,89,70,84.85,86,85.66
刘勇,金融学,3,女,74,98,78,1,1,1,100.0,82,91,88.25,72,76.88
王佳,金融学,4,女,65,76,71,1,1,1,100.0,99,80,85.95,84,84.58
朱秀梅,计算机科学与技术,2,男,82,75,98,1,1,1,100.0,75,74,82.75,64,69.62
徐莹,电子信息工程,1,女,76,80,92,1,1,1,100.0,74,79,83.05,67,71.82
王红梅,电子信息工程,3,女,80,85,86,1,1,0,66.67,72,78,75.93,92,87.18
古雪,电子信息工程,2,男,83,70,75,1,1,0,66.67,84,75,75.88,69,71.06
陈彬,英语,2,男,66,72,91,1,1,1,100.0,100,98,92.4,79,83.02
苏淑华,金融学,2,女,88,93,91,1,1,1,100.0,84,84,89.2,82,84.16
覃勇,英语,1,女,91,68,62,1,1,1,100.0,87,75,82.6,81,81.48
罗霞,会计学,2,女,91,92,64,1,0,0,33.33,88,77,72.62,87,82.69
王淑华,计算机科学与技术,4,女,97,89,82,1,1,1,100.0,97,72,89.05,71,76.41
徐淑兰,金融学,1,女,75,77,82,1,0,1,66.67,71,79,74.23,68,69.87
郭秀英,金融学,3,女,74,87,91,1,1,1,100.0,76,82,84.7,90,88.41
陈桂香,电子信息工程,2,女,78,79,65,1,1,1,100.0,74,93,83.95,90,88.18
张超,会计学,4,男,64,78,92,1,1,1,100.0,76,80,82.4,91,88.42
江伟,英语,2,女,93,65,84,1,1,1,100.0,92,70,84.7,69,73.71
赵龙,英语,1,女,85,87,74,1,1,1,100.0,100,75,88.35,81,83.2
李丹丹,金融学,1,女,75,85,79,1,1,1,100.0,97,72,86.15,79,81.14
赵平,金融学,4,男,80,92,88,1,1,1,100.0,78,91,88.25,95,92.98
蒋雷,计算机科学与技术,3,男,61,66,80,1,1,0,66.67,99,74,77.28,91,86.88
沈莉,电子信息工程,2,女,98,97,89,1,1,1,100.0,99,93,96.4,85,88.42
陈玉,英语,2,男,78,64,95,1,1,0,66.67,98,75,80.28,72,74.48
曾健,金融学,4,女,72,89,92,1,0,1,66.67,100,80,83.63,78,79.69
罗宇,英语,1,女,82,80,96,1,1,1,100.0,77,70,82.55,87,85.66
施晶,英语,4,女,68,89,89,1,1,0,66.67,74,99,81.18,71,74.05
杨磊,英语,1,男,67,78,86,1,1,1,100.0,93,79,86.1,60,67.83
麦洁,会计学,2,女,87,71,83,0,1,1,66.67,99,85,83.43,82,82.43
陶敏,金融学,1,女,72,98,97,1,1,1,100.0,89,84,89.95,79,82.28
詹鑫,电子信息工程,1,女,73,87,83,0,1,1,66.67,82,71,75.88,72,73.16
冯秀兰,会计学,4,男,75,80,70,1,1,1,100.0,83,88,85.25,87,86.48
杨琳,金融学,4,男,96,62,94,1,1,1,100.0,98,75,88.45,96,93.73
刘东,会计学,4,男,95,95,62,1,1,1,100.0,84,77,85.45,97,93.54
韩丽华,会计学,1,女,87,81,60,1,0,1,66.67,71,75,72.63,66,67.99
李佳,金融学,3,男,88,79,61,0,1,1,66.67,78,74,74.13,76,75.44
刘桂珍,英语,4,男,91,71,82,1,1,1,100.0,87,91,88.9,95,93.17
罗玉英,计算机科学与技术,1,男,65,96,83,1,1,1,100.0,80,97,88.65,60,68.6
崔红梅,计算机科学与技术,4,男,80,97,90,1,1,1,100.0,77,71,83.7,96,92.31
张秀梅,会计学,1,女,68,96,70,0,1,1,66.67,77,96,79.98,84,82.79
李东,会计学,1,男,99,100,61,1,1,1,100.0,82,94,90.0,85,86.5
董兵,金融学,3,女,91,85,74,1,1,1,100.0,75,88,85.75,71,75.42
谢淑英,电子信息工程,2,男,60,66,81,0,1,1,66.67,91,78,76.28,79,78.18
何梅,会计学,1,男,93,86,67,1,1,1,100.0,78,89,86.35,96,93.1
李秀梅,英语,1,女,91,65,75,1,1,1,100.0,80,71,80.85,100,94.26
李梅,计算机科学与技术,2,男,60,72,75,1,1,1,100.0,87,71,80.2,67,70.96
樊佳,会计学,4,男,60,63,65,1,1,1,100.0,71,91,79.3,90,86.79
龙艳,英语,3,男,79,87,92,1,1,1,100.0,97,97,94.3,99,97.59
田桂芳,金融学,1,男,72,67,86,1,1,1,100.0,72,91,83.25,90,87.98
王博,计算机科学与技术,3,女,75,94,68,1,1,1,100.0,90,81,86.45,97,93.84
沈波,计算机科学与技术,4,男,91,88,65,1,1,1,100.0,82,77,84.15,60,67.24
李云,计算机科学与技术,2,女,68,88,64,1,0,1,66.67,77,78,74.08,71,71.92
白凤英,金融学,1,男,68,60,96,1,1,1,100.0,72,77,79.65,91,87.6
贾建华,会计学,1,男,70,76,74,0,1,1,66.67,96,79,79.08,79,79.02
米英,电子信息工程,3,男,75,63,79,1,0,1,66.67,75,82,74.28,91,85.98
陈梅,金融学,3,男,65,85,100,1,1,1,100.0,99,81,90.0,91,90.7
王秀芳,电子信息工程,4,男,62,70,64,1,1,1,100.0,99,80,84.35,72,75.7
王丽娟,计算机科学与技术,3,男,92,64,81,1,1,1,100.0,71,82,81.95,63,68.68
张英,计算机科学与技术,2,女,84,89,92,1,1,1,100.0,96,72,88.5,75,79.05
吴艳,会计学,3,女,68,60,78,1,1,1,100.0,74,94,82.6,81,81.48
张芳,会计学,1,男,95,79,96,1,1,1,100.0,91,93,93.0,90,90.9
郑桂珍,金融学,3,女,80,87,77,1,1,1,100.0,75,96,87.15,78,80.74
刘丽娟,计算机科学与技术,2,男,86,91,65,1,1,1,100.0,96,83,88.95,60,68.68
阎岩,会计学,4,男,95,64,99,1,0,1,66.67,96,74,81.63,91,88.19
刘桂兰,会计学,4,男,88,75,89,1,1,1,100.0,72,74,81.7,72,74.91
武芳,会计学,1,女,73,96,100,1,1,1,100.0,93,91,92.9,82,85.27
彭欣,金融学,3,女,62,94,79,1,1,1,100.0,75,84,83.25,69,73.27
钟桂香,英语,2,男,75,60,70,1,0,1,66.67,70,85,72.58,77,75.67
雷颖,电子信息工程,1,男,94,75,82,1,0,1,66.67,100,83,84.18,65,70.75
洪杰,电子信息工程,4,女,61,67,91,1,1,1,100.0,74,94,83.9,76,78.37
