学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩,学习投入度,成绩稳定性,综合能力
程秀芳,电子信息工程,3,女,73,72,87,0,1,1,66.67,90,98,83.53,90,88.06,78.07,8.39,87.41
冯凤英,金融学,2,女,62,86,63,1,1,0,66.67,83,99,79.93,69,72.28,75.07,13.58,73.37
柴瑞,金融学,4,男,97,95,82,1,1,1,100.0,81,84,88.65,65,72.10,92.15,8.14,74.46
全秀云,计算机科学与技术,2,女,75,83,81,1,1,1,100.0,82,99,89.15,81,83.44,91.05,4.16,84.26
何兰英,计算机科学与技术,3,男,78,91,74,0,1,1,66.67,71,80,75.38,81,79.31,73.62,8.89,78.75
何鹏,电子信息工程,4,男,88,92,99,1,1,1,100.0,84,84,89.9,97,94.87,93.10,5.57,94.16
王娜,会计学,4,女,80,61,67,1,1,1,100.0,73,76,78.05,99,92.72,83.15,9.71,90.62
李明,金融学,4,男,89,89,65,1,1,1,100.0,99,100,94.05,66,74.41,94.15,13.86,77.22
朱建国,电子信息工程,1,男,62,73,76,1,1,1,100.0,95,97,89.1,81,83.43,89.90,7.37,84.24
王彬,会计学,4,女,81,96,89,1,1,1,100.0,88,96,92.6,60,69.78,94.20,7.51,73.04
张秀华,英语,1,男,73,80,66,0,1,1,66.67,94,98,83.23,100,94.97,77.37,7,93.29
李涛,金融学,3,女,92,60,69,1,1,1,100.0,73,81,80.6,97,92.08,85.20,16.50,90.44
傅志强,金融学,2,女,93,86,74,1,1,1,100.0,92,72,86.3,82,83.29,89.90,9.61,83.72
陶旭,计算机科学与技术,3,男,76,81,68,0,1,1,66.67,91,76,77.58,61,65.97,74.22,6.56,67.63
高想,金融学,3,男,72,90,61,0,1,1,66.67,78,79,74.88,97,90.36,72.52,14.64,88.15
张涛,会计学,1,男,98,87,98,1,1,1,100.0,80,72,86.3,84,84.69,91.10,6.35,84.92
吴坤,会计学,2,男,83,83,86,0,1,0,33.33,97,77,75.37,93,87.71,64.63,1.73,85.95
杜芳,英语,4,男,72,84,63,1,1,1,100.0,85,79,82.9,73,75.97,86.50,10.54,76.96
侯玲,英语,3,女,64,73,75,1,1,1,100.0,88,91,85.95,92,90.18,88.05,5.86,89.58
武志强,会计学,4,男,66,73,74,1,1,1,100.0,99,70,83.55,84,83.86,86.65,4.36,83.82
王玉兰,英语,4,男,72,96,66,1,1,1,100.0,95,84,88.15,79,81.74,90.25,15.87,82.66
梅彬,会计学,4,女,66,70,84,1,1,1,100.0,87,83,84.5,75,77.85,87.50,9.45,78.80
孔志强,会计学,3,男,85,70,94,1,1,1,100.0,85,77,85.4,64,70.42,89.20,12.12,72.56
郭帅,英语,1,女,68,77,77,1,1,1,100.0,71,92,82.95,99,94.18,86.65,5.20,92.58
郑飞,电子信息工程,1,女,80,96,96,1,1,0,66.67,79,92,83.28,88,86.58,79.52,9.24,86.11
蒋玉珍,会计学,3,女,96,68,70,0,0,1,33.33,80,82,70.57,70,70.17,61.03,15.62,70.23
王岩,会计学,3,男,81,75,72,1,1,1,100.0,98,98,91.8,73,78.64,92.20,4.58,80.52
贺雪梅,电子信息工程,3,女,88,92,73,1,0,1,66.67,95,79,82.13,69,72.94,78.07,10.02,74.25
欧凤英,会计学,3,女,65,89,83,1,1,1,100.0,100,81,88.95,79,81.98,90.85,12.49,82.98
胡龙,金融学,4,男,86,69,100,1,1,0,66.67,89,72,79.08,69,72.02,76.32,15.52,73.03
黄萍,会计学,3,女,89,97,64,0,1,1,66.67,90,87,82.58,63,68.87,78.22,17.21,70.83
王辉,金融学,3,男,84,80,72,1,1,0,66.67,83,72,75.68,95,89.20,73.52,6.11,87.27
熊东,计算机科学与技术,4,男,61,60,70,1,1,1,100.0,87,78,80.35,86,84.30,83.85,5.51,83.74
周凤兰,英语,2,男,71,70,99,1,1,1,100.0,96,71,85.75,65,71.22,89.05,16.46,73.30
吴欢,金融学,3,男,100,96,93,1,1,1,100.0,87,73,88.9,96,93.87,92.90,3.51,93.16
郑海燕,金融学,1,女,98,87,95,1,0,1,66.67,88,92,86.33,66,72.10,81.67,5.69,74.13
李楠,金融学,2,女,81,72,63,1,1,1,100.0,92,74,83.1,84,83.73,86.50,9,83.64
祁莹,会计学,4,男,62,65,88,1,1,1,100.0,75,88,82.25,65,70.18,85.95,14.22,71.90
黄艳,英语,3,女,75,86,86,1,1,1,100.0,84,73,83.95,85,84.68,88.25,6.35,84.58
张欣,计算机科学与技术,1,女,93,100,67,1,1,1,100.0,93,73,87.5,97,94.15,90.90,17.39,93.20
王建军,金融学,2,男,83,96,79,1,1,1,100.0,97,71,87.8,97,94.24,91,8.89,93.32
张平,金融学,2,女,66,95,91,1,1,1,100.0,88,73,85.45,67,72.54,89.35,15.72,74.38
宋荣,金融学,4,男,65,64,99,1,1,1,100.0,82,80,83.3,66,71.19,87.10,19.92,72.92
周磊,英语,3,男,98,63,71,0,1,1,66.67,75,83,76.03,80,78.81,73.57,18.34,78.41
江明,电子信息工程,1,女,70,76,77,1,1,1,100.0,87,89,86.3,73,76.99,88.70,3.79,78.32
袁岩,计算机科学与技术,2,男,98,93,84,1,1,1,100.0,98,96,96.0,99,98.10,96.60,7.09,97.80
罗利,计算机科学与技术,3,男,94,75,75,1,1,1,100.0,75,75,81.9,92,88.97,86.90,10.97,87.96
蒋瑜,会计学,4,男,60,74,94,1,1,1,100.0,78,72,80.3,91,87.79,85.30,17.09,86.72
陈浩,计算机科学与技术,1,男,61,94,92,1,1,1,100.0,71,81,82.7,73,75.91,87.50,18.50,76.88
李金凤,电子信息工程,2,女,71,64,88,1,1,1,100.0,100,74,85.8,74,77.54,88.40,12.34,78.72
夏杨,电子信息工程,4,男,83,87,98,1,1,1,100.0,88,85,90.05,76,80.21,92.75,7.77,81.62
曾楠,英语,3,女,87,61,66,1,1,1,100.0,71,85,80.4,84,82.92,84.80,13.80,82.56
刘冬梅,计算机科学与技术,4,男,80,62,72,1,1,1,100.0,90,87,85.65,76,78.90,87.95,9.02,79.86
冯丹丹,会计学,3,男,66,60,64,1,1,0,66.67,73,75,69.33,92,85.20,67.87,3.06,82.93
梁娜,金融学,3,男,80,86,84,1,1,1,100.0,86,78,86.0,84,84.60,89.60,3.06,84.80
陈帅,会计学,4,女,63,83,86,0,1,1,66.67,100,86,83.03,98,93.51,77.77,12.50,92.01
卢桂珍,会计学,2,男,79,88,73,0,1,1,66.67,94,99,85.58,69,73.97,79.62,7.55,75.63
鞠娟,会计学,1,女,98,85,61,1,1,1,100.0,77,95,87.4,98,94.82,90.20,18.77,93.76
赵佳,英语,3,女,73,72,100,1,1,1,100.0,89,85,88.0,66,72.60,90.60,15.89,74.80
宋丽华,金融学,4,男,85,92,95,1,1,1,100.0,88,91,91.95,72,77.98,94.05,5.13,79.98
李玉珍,英语,4,女,75,67,80,1,1,1,100.0,96,83,86.95,72,76.48,89.05,6.56,77.98
李磊,计算机科学与技术,1,女,82,63,69,1,1,1,100.0,70,80,78.9,60,65.67,83.90,9.71,67.56
张梅,英语,4,男,78,65,76,1,1,1,100.0,81,93,85.4,79,80.92,88,7,81.56
蔡玉珍,计算机科学与技术,2,女,78,100,69,0,1,1,66.67,99,83,83.53,92,89.46,78.67,15.95,88.61
何桂花,会计学,2,女,62,100,73,1,1,0,66.67,84,99,82.58,82,82.17,77.62,19.55,82.23
沈亮,金融学,3,男,85,95,97,1,1,1,100.0,89,83,90.7,73,78.31,93.50,6.43,80.08
邵秀兰,电子信息工程,4,女,97,75,83,1,1,1,100.0,87,78,86.75,65,71.53,90.25,11.14,73.70
高阳,电子信息工程,3,女,81,94,89,1,1,1,100.0,75,95,88.9,77,80.57,91.90,6.56,81.76
贾峰,会计学,3,男,75,63,72,1,1,1,100.0,86,88,84.5,84,84.15,87.10,6.24,84.20
赵秀华,计算机科学与技术,3,女,72,86,76,1,1,1,100.0,77,83,83.4,81,81.72,87.40,7.21,81.96
杨桂兰,会计学,2,男,61,83,95,1,1,1,100.0,75,98,87.15,68,73.74,89.85,17.24,75.66
张华,会计学,1,男,72,81,77,1,1,1,100.0,98,78,87.0,81,82.80,89.40,4.51,83.40
郭超,计算机科学与技术,3,女,95,91,99,1,0,1,66.67,84,84,83.83,94,90.95,80.37,4,89.93
陈慧,英语,1,男,75,71,62,1,1,1,100.0,70,93,81.55,92,88.86,85.25,6.66,87.82
张丽娟,计算机科学与技术,4,女,80,74,76,1,1,1,100.0,85,79,84.0,71,74.90,87.60,3.06,76.20
魏林,会计学,4,男,70,66,81,1,1,1,100.0,87,83,84.2,66,71.46,87.20,7.77,73.28
陈桂芳,电子信息工程,2,男,79,95,63,1,1,1,100.0,80,80,83.7,68,72.71,87.70,16,74.28
王峰,会计学,1,女,94,95,99,1,1,1,100.0,93,94,95.55,72,79.06,96.85,2.65,81.42
巩军,电子信息工程,1,男,86,89,76,1,1,1,100.0,71,84,83.85,79,80.46,88.35,6.81,80.94
王丹丹,计算机科学与技术,3,女,76,62,79,1,1,1,100.0,82,79,81.95,85,84.08,85.85,9.07,83.78
李丽丽,英语,2,女,75,82,73,0,1,1,66.67,93,70,77.08,87,84.02,74.12,4.73,83.03
张桂荣,计算机科学与技术,1,男,98,62,63,1,0,1,66.67,97,90,82.38,80,80.71,77.02,20.50,80.95
常洁,会计学,4,男,98,64,96,0,1,1,66.67,75,81,78.13,75,75.94,75.87,19.08,76.25
刘瑜,电子信息工程,2,女,73,91,70,1,1,0,66.67,94,98,84.73,86,85.62,78.87,11.36,85.49
龚建国,金融学,2,女,65,75,88,1,1,0,66.67,78,77,74.88,64,67.26,72.72,11.53,68.35
曲宇,计算机科学与技术,2,女,73,68,82,1,1,0,66.67,82,89,78.38,87,84.41,74.62,7.09,83.55
马洋,金融学,2,男,63,61,79,1,1,1,100.0,77,82,80.05,64,68.82,84.15,9.87,70.42
汪超,会计学,2,女,82,89,79,1,1,1,100.0,97,84,90.25,79,82.38,92.15,5.13,83.50
周淑英,英语,2,男,95,63,94,1,1,1,100.0,76,75,82.95,68,72.48,87.85,18.19,73.98
黄帅,会计学,4,女,73,62,74,1,1,1,100.0,91,86,85.15,68,73.14,87.45,6.66,74.86
易静,英语,2,男,64,67,91,1,1,1,100.0,88,94,87.7,69,74.61,89.50,14.80,76.48
邵淑珍,电子信息工程,4,女,85,66,87,1,1,1,100.0,80,92,86.8,77,79.94,89.60,11.59,80.92
马莹,金融学,4,男,84,76,91,1,1,1,100.0,70,89,84.85,62,68.85,88.95,7.51,71.14
卢文,计算机科学与技术,4,女,88,91,63,1,1,1,100.0,98,86,90.2,98,95.66,91.80,15.37,94.88
叶超,计算机科学与技术,4,男,83,71,83,1,0,1,66.67,98,74,80.03,82,81.41,76.17,6.93,81.21
赵兰英,计算机科学与技术,4,男,70,87,91,0,1,1,66.67,77,85,78.63,88,85.19,75.77,11.15,84.25
罗兰英,电子信息工程,2,男,66,93,64,1,1,0,66.67,93,95,82.63,95,91.29,77.17,16.20,90.05
张秀梅,金融学,1,男,77,62,92,0,1,0,33.33,82,73,68.52,89,82.86,59.68,15,80.81
王波,计算机科学与技术,2,男,88,60,96,0,1,1,66.67,96,77,80.98,85,83.79,77.02,18.90,83.39
蔺玉梅,金融学,4,男,69,87,93,1,1,1,100.0,71,97,86.9,86,86.27,90.10,12.49,86.36
周玉英,金融学,3,女,78,100,88,1,0,1,66.67,95,89,85.93,82,83.18,80.87,11.02,83.57
王军,英语,2,男,89,73,82,1,1,1,100.0,83,76,84.15,70,74.24,88.25,8.02,75.66
陈玉,金融学,2,女,90,91,72,1,1,1,100.0,71,71,80.8,99,93.54,86.60,10.69,91.72
龙海燕,计算机科学与技术,3,男,91,72,70,1,1,1,100.0,90,72,83.8,73,76.24,87.60,11.59,77.32
贺桂花,英语,4,男,96,69,94,1,1,1,100.0,83,83,87.4,91,89.92,90.80,15.04,89.56
余静,电子信息工程,4,男,60,73,70,1,1,0,66.67,76,74,71.13,79,76.64,69.47,6.81,75.85
樊兵,计算机科学与技术,3,女,87,99,100,1,1,1,100.0,89,82,91.35,80,83.40,94.25,7.23,84.54
萧金凤,电子信息工程,4,女,77,97,76,1,0,1,66.67,89,71,78.33,70,72.50,75.67,11.85,73.33
雷桂香,计算机科学与技术,1,女,70,79,92,0,1,1,66.67,76,83,77.18,84,81.95,74.62,11.06,81.27
杨文,金融学,1,女,72,96,96,1,1,1,100.0,75,100,90.15,75,79.54,92.65,13.86,81.06
罗欢,计算机科学与技术,4,男,99,80,65,1,1,0,66.67,96,95,85.48,70,74.64,79.72,17.04,76.19
甄莹,电子信息工程,4,女,81,91,97,1,1,0,66.67,73,98,82.98,88,86.49,79.22,8.08,85.99
郑阳,会计学,1,男,78,88,71,1,1,1,100.0,85,95,88.7,78,81.21,90.70,8.54,82.28
江桂香,会计学,4,男,100,76,96,0,1,1,66.67,95,87,86.03,65,71.31,81.17,12.86,73.41
方林,金融学,4,男,90,97,78,1,1,1,100.0,70,94,87.5,90,89.25,91.10,9.61,89
刘凤兰,金融学,2,男,80,70,61,1,0,1,66.67,77,97,77.93,63,67.48,73.87,9.50,68.97
韦淑华,电子信息工程,3,男,61,71,74,0,1,1,66.67,82,100,79.43,68,71.43,74.57,6.81,72.57
路玉,英语,3,男,92,96,89,1,1,1,100.0,80,98,92.2,100,97.66,94.40,3.51,96.88
陈云,计算机科学与技术,4,男,88,81,69,1,0,1,66.67,99,88,83.88,99,94.46,78.52,9.61,92.95
刘敏,金融学,2,男,75,79,69,1,1,0,66.67,74,88,76.13,86,83.04,73.27,5.03,82.05
徐桂花,计算机科学与技术,4,女,88,68,62,0,1,0,33.33,83,71,66.97,74,71.89,58.23,13.61,71.19
兰萍,电子信息工程,4,女,72,96,75,1,1,1,100.0,81,75,83.3,91,88.69,87.70,13.08,87.92
曾欣,会计学,4,女,91,81,68,1,1,1,100.0,91,89,89.0,91,90.40,91,11.53,90.20
叶磊,英语,4,女,81,67,64,1,1,1,100.0,88,81,83.45,83,83.14,86.55,9.07,83.18
张健,金融学,2,男,72,91,98,1,1,1,100.0,74,70,82.1,93,89.73,87.70,13.45,88.64
赵成,会计学,4,女,79,79,71,1,1,1,100.0,86,71,82.15,86,84.84,86.45,4.62,84.46
祁建平,计算机科学与技术,4,女,91,71,83,1,1,0,66.67,89,82,80.58,85,83.67,76.82,10.07,83.23
郑俊,会计学,1,男,97,65,62,1,1,0,66.67,79,94,78.98,90,86.69,75.02,19.40,85.59
张岩,会计学,1,女,67,74,70,1,1,1,100.0,77,71,78.1,96,90.63,83.30,3.51,88.84
杨旭,电子信息工程,2,男,84,71,81,1,0,1,66.67,78,90,78.93,77,77.58,75.47,6.81,77.77
王海燕,金融学,2,男,71,68,90,1,1,0,66.67,85,79,77.23,96,90.37,74.17,11.93,88.49
康玉英,英语,1,女,86,77,67,1,0,0,33.33,100,70,72.17,93,86.75,61.83,9.50,84.67
贾帆,金融学,1,男,70,70,100,1,1,1,100.0,73,73,80.5,74,75.95,85.90,17.32,76.60
魏莉,电子信息工程,1,女,88,96,90,0,1,1,66.67,87,78,81.98,66,70.79,78.82,4.16,72.39
李桂芝,会计学,3,女,72,78,72,1,1,1,100.0,85,93,86.7,87,86.91,88.90,3.46,86.88
武洋,金融学,2,男,99,100,87,1,1,1,100.0,89,80,90.85,61,69.96,93.95,7.23,72.94
沈桂香,英语,4,女,93,75,63,1,1,1,100.0,81,95,87.1,96,93.33,89.50,15.10,92.44
张亮,计算机科学与技术,1,男,72,95,75,1,1,1,100.0,80,94,87.7,82,83.71,90.30,12.50,84.28
吴畅,计算机科学与技术,2,女,86,72,77,0,1,1,66.67,70,92,77.33,75,75.70,74.47,7.09,75.93
庄丽,英语,4,男,71,67,99,1,0,1,66.67,97,78,80.78,88,85.83,76.62,17.44,85.11
陈雷,会计学,1,女,98,73,73,1,1,0,66.67,81,89,80.23,63,68.17,76.57,14.43,69.89
莫秀芳,金融学,1,男,92,68,70,1,1,1,100.0,70,92,83.5,99,94.35,87.30,13.32,92.80
罗娟,会计学,4,男,95,68,76,1,0,1,66.67,86,88,80.73,73,75.32,76.67,13.87,76.09
赵楠,会计学,1,男,70,85,82,1,1,0,66.67,98,73,79.78,92,88.33,76.02,7.94,87.11
范佳,电子信息工程,1,男,79,75,97,1,1,1,100.0,74,93,86.85,75,78.55,90.15,11.72,79.74
彭欣,英语,1,女,91,90,65,1,1,1,100.0,73,70,80.35,74,75.90,86.05,14.73,76.54
林建国,计算机科学与技术,2,女,61,76,66,1,1,1,100.0,94,93,87.05,73,77.21,88.35,7.64,78.62
李红霞,会计学,3,男,98,61,63,1,1,1,100.0,72,70,77.7,93,88.41,83.50,20.81,86.88
宋亮,电子信息工程,2,女,74,75,68,1,1,1,100.0,76,99,85.45,86,85.84,87.95,3.79,85.78
宋柳,计算机科学与技术,1,男,93,72,94,1,1,1,100.0,77,100,90.15,64,71.84,92.45,12.42,74.46
王亮,会计学,4,男,77,100,95,1,1,1,100.0,84,76,87.2,84,84.96,91.20,12.10,85.28
冯凯,计算机科学与技术,3,女,90,68,92,1,1,1,100.0,73,71,81.0,69,72.60,86.60,13.32,73.80
陈丹,会计学,2,女,61,97,73,1,1,1,100.0,93,94,89.85,92,91.35,91.15,18.33,91.14
宋璐,计算机科学与技术,1,男,71,72,91,1,1,1,100.0,84,74,82.9,65,70.37,87.10,11.27,72.16
周建华,会计学,3,女,80,78,99,1,1,1,100.0,78,71,82.95,85,84.38,88.05,11.59,84.18
傅建,英语,2,女,97,84,81,1,1,1,100.0,70,85,84.95,92,89.88,89.45,8.50,89.18
仇慧,计算机科学与技术,1,男,77,90,81,1,1,1,100.0,72,90,85.3,99,94.89,89.10,6.66,93.52
曹建平,计算机科学与技术,3,男,90,78,91,1,1,1,100.0,95,100,94.65,99,97.70,95.15,7.23,97.26
叶杨,电子信息工程,1,女,92,88,99,1,1,1,100.0,99,80,92.65,64,72.60,94.75,5.57,75.46
薛婷,会计学,4,女,65,61,62,1,1,1,100.0,96,79,82.55,90,87.76,85.05,2.08,87.02
倪瑜,英语,4,女,94,77,71,1,1,1,100.0,100,75,87.95,81,83.08,90.45,11.93,83.78
包玲,英语,4,女,95,76,87,1,1,1,100.0,79,77,84.8,60,67.44,89.20,9.54,69.92
周凯,英语,2,男,88,77,81,1,1,1,100.0,100,72,87.6,85,85.78,90.40,5.57,86.04
吴淑兰,金融学,1,男,75,93,79,1,0,1,66.67,79,94,81.28,61,67.08,77.32,9.45,69.11
马明,英语,1,女,94,67,76,1,1,1,100.0,97,86,89.45,62,70.24,91.15,13.75,72.98
杨军,会计学,2,男,72,78,86,1,1,1,100.0,90,80,86.1,65,71.33,89.10,7.02,73.44
江玉,英语,2,女,87,66,99,1,1,1,100.0,86,76,85.7,76,78.91,89.50,16.70,79.88
王佳,英语,3,女,73,85,74,1,1,1,100.0,89,77,84.7,67,72.31,88.10,6.66,74.08
钱红,英语,2,女,78,90,65,1,1,1,100.0,72,77,80.55,76,77.36,85.65,12.50,77.82
邵杰,英语,4,女,81,73,84,1,1,1,100.0,99,95,92.3,78,82.29,92.90,5.69,83.72
翟志强,英语,1,女,61,96,65,1,1,1,100.0,96,95,89.95,86,87.18,90.85,19.16,87.58
梁金凤,电子信息工程,1,男,83,92,67,1,0,1,66.67,97,81,82.03,91,88.31,77.57,12.66,87.41
涂凤兰,金融学,3,男,72,68,82,1,1,1,100.0,84,97,87.45,79,81.54,89.35,7.21,82.38
王玉英,计算机科学与技术,2,男,64,65,81,1,1,0,66.67,94,76,76.83,80,79.05,73.17,9.54,78.73
李洋,英语,4,男,74,86,93,1,1,1,100.0,72,95,87.05,64,70.91,90.35,9.61,73.22
王莉,会计学,4,女,65,94,62,1,1,1,100.0,93,85,86.6,99,95.28,88.80,17.67,94.04
李明,会计学,4,女,60,78,96,1,1,1,100.0,90,94,89.4,77,80.72,91,18,81.96
许想,计算机科学与技术,1,女,81,97,81,1,1,1,100.0,84,77,86.15,81,82.54,90.05,9.24,83.06
凌金凤,金融学,1,男,97,88,82,1,1,1,100.0,73,80,84.95,76,78.68,89.65,7.55,79.58
李阳,会计学,1,女,93,91,100,1,1,1,100.0,80,94,91.9,92,91.97,94.50,4.73,91.96
沈小红,计算机科学与技术,1,女,90,73,83,0,0,1,33.33,86,90,75.27,86,82.78,64.33,8.54,81.71
董坤,电子信息工程,2,男,79,74,94,1,1,1,100.0,92,93,90.95,80,83.28,92.45,10.41,84.38
苏瑞,电子信息工程,3,女,73,63,73,1,1,1,100.0,84,78,81.4,83,82.52,85.20,5.77,82.36
魏玉珍,计算机科学与技术,1,女,98,64,93,1,1,1,100.0,99,99,95.0,74,80.30,95.20,18.36,82.40
金兰英,会计学,1,男,88,79,92,1,1,0,66.67,95,78,82.48,72,75.14,78.52,6.66,76.19
陈秀珍,会计学,2,女,93,98,79,1,1,1,100.0,85,98,92.75,94,93.62,94.45,9.85,93.50
张红,英语,3,男,67,96,78,1,1,1,100.0,90,100,91.6,64,72.28,92.60,14.64,75.04
武凤兰,电子信息工程,2,男,80,85,70,1,1,1,100.0,99,80,88.25,80,82.48,90.35,7.64,83.30
江丹,英语,2,女,93,90,65,1,1,1,100.0,85,74,84.55,96,92.56,88.65,15.37,91.42
吴岩,英语,2,女,93,82,94,1,1,1,100.0,96,78,90.4,84,85.92,93,6.66,86.56
刘瑜,英语,3,女,87,87,80,1,1,1,100.0,99,96,94.15,66,74.44,94.65,4.04,77.26
席刚,英语,4,女,72,78,78,1,1,1,100.0,94,75,85.05,75,78.02,88.15,3.46,79.02
宋楠,金融学,1,女,75,70,80,1,0,1,66.67,92,70,76.33,63,67,73.47,5,68.33
胡柳,金融学,3,男,64,100,78,1,1,1,100.0,98,76,87.7,91,90.01,90.30,18.15,89.68
王秀华,会计学,3,男,88,82,98,0,1,1,66.67,96,95,87.88,84,85.16,82.12,8.08,85.55
陈旭,金融学,3,男,87,65,67,1,1,1,100.0,80,100,86.9,73,77.17,88.90,12.17,78.56
曹平,电子信息工程,1,男,90,90,68,1,1,1,100.0,94,71,86.05,78,80.41,89.55,12.70,81.22
彭浩,会计学,4,女,74,73,89,0,1,1,66.67,95,96,84.68,70,74.40,78.92,8.96,75.87
詹丽丽,会计学,3,男,79,74,64,1,0,1,66.67,81,89,77.53,92,87.66,73.87,7.64,86.21
冯丹,英语,2,女,92,97,62,1,1,1,100.0,89,70,84.85,86,85.66,88.95,18.93,85.54
刘勇,金融学,3,女,74,98,78,1,1,1,100.0,82,91,88.25,72,76.88,90.95,12.86,78.50
王佳,金融学,4,女,65,76,71,1,1,1,100.0,99,80,85.95,84,84.58,88.05,5.51,84.78
朱秀梅,计算机科学与技术,2,男,82,75,98,1,1,1,100.0,75,74,82.75,64,69.62,87.85,11.79,71.50
徐莹,电子信息工程,1,女,76,80,92,1,1,1,100.0,74,79,83.05,67,71.82,87.75,8.33,73.42
